puzzle_id,size,rating
11968,70x50,5
12423,40x45,5
4286,30x24,5
5382,25x22,5
8910,24x26,5
8987,40x50,5
8297,45x55,5
12510,45x45,5
5716,50x50,5
6179,45x35,5
11435,45x55,5
11976,65x80,5
796,55x75,5
1239,40x55,5
2135,45x40,5
2962,25x25,5
5104,75x80,5
5266,45x30,5
6355,35x40,5
8415,25x25,5
1800,50x80,5
1901,40x40,5
2159,30x45,5
2311,80x61,5
6305,50x60,5
6691,54x64,5
8330,25x20,5
8861,55x75,5
9355,35x45,5
11675,65x55,5
11853,35x45,5
143,29x33,5
3285,54x70,5
9120,70x65,5
11512,80x40,5
12246,25x35,5
5798,35x34,5
8332,45x35,5
298,45x40,5
327,50x60,5
3333,65x45,5
6748,50x75,5
7729,17x21,5
7878,33x27,5
8296,40x45,5
10592,60x33,5
12210,46x57,5
4952,44x33,5
8088,35x60,5
8161,25x35,5
9871,47x75,5
11595,54x80,5
516,65x55,5
3924,45x45,5
7087,25x25,5
8720,79x56,5
12578,40x45,5
1094,40x50,5
4021,40x45,5
4647,55x65,5
12113,55x65,5
13472,80x80,5
8238,80x70,5
8551,35x60,5
12162,20x25,5
5936,45x55,5
7285,40x40,5
9705,38x30,5
12091,23x33,5
701,25x28,5
2837,55x75,5
4393,45x40,5
5094,45x40,5
6293,45x60,5
6720,35x40,5
8667,80x60,5
843,40x30,5
1265,45x30,5
1534,40x45,5
3641,31x24,5
5152,25x30,5
5278,45x30,5
9560,75x95,5
11032,40x50,5
11526,46x50,5
7576,35x40,5
11521,35x40,5
4580,40x45,5
5265,32x37,5
7276,45x40,5
7820,25x30,5
9682,55x45,5
1661,30x20,5
1871,63x61,5
3361,60x80,5
3522,34x30,5
8049,30x25,5
8486,45x45,5
10018,30x35,5
3160,35x25,5
4298,40x45,5
5013,50x35,5
5759,56x66,5
6990,35x45,5
8146,35x45,5
10683,74x89,5
416,60x80,5
2160,55x70,5
10918,35x37,5
11430,50x60,5
11740,77x51,5
11833,20x30,5
12819,70x93,5
3649,20x30,5
4734,50x50,5
5339,75x40,5
3481,30x50,5
6595,55x38,5
6640,50x70,5
981,40x45,5
1359,60x50,5
1568,67x61,5
1738,40x50,5
2124,45x35,5
2659,25x35,5
3247,45x30,5
3513,55x80,5
4188,45x35,5
4770,55x80,5
5319,50x29,5
7426,25x30,5
8570,29x31,5
267,80x80,5
858,45x25,5
4303,18x28,5
4442,55x65,5
9171,75x50,5
10139,45x45,5
11618,35x30,5
1229,25x25,5
3412,50x35,5
3652,25x26,5
5292,45x50,5
8683,70x35,5
8943,45x35,5
4910,25x20,5
6746,33x42,5
920,31x41,5
2241,50x30,5
9819,65x55,5
186,49x46,5
5181,28x18,5
458,25x25,5
5410,30x40,5
6070,55x45,5
7607,23x29,5
10614,40x45,5
10848,56x80,5
4456,60x45,5
6182,45x35,5
11940,55x25,5
12278,55x45,5
1193,35x25,5
4149,75x80,5
5056,48x25,5
6061,30x23,5
4305,35x25,5
9370,30x40,5
7215,70x60,5
1577,80x60,5
4078,35x45,5
4203,55x65,5
4907,45x40,5
4938,45x40,5
5065,25x30,5
6436,30x40,5
9092,70x70,5
10728,40x30,5
11657,65x80,5
2607,40x45,5
2938,35x30,5
6331,50x30,5
12396,55x60,5
1588,79x77,5
6513,50x50,5
8817,35x30,5
11816,40x45,5
13266,55x75,5
1637,70x80,5
5149,55x36,5
5477,75x80,5
6429,25x30,5
8813,57x55,5
1144,40x64,5
2354,75x80,5
7138,35x25,5
8450,23x29,5
8491,70x80,5
